id,group,hit,age
1c,cs,0.446859903,9
2c,cs,0.169082126,9
3c,cs,0.444444444,9
4c,cs,0.418478261,9
6c,cs,0.374798712,9
7c,cs,0.148550725,9
8c,cs,0.278985507,9
9c,cs,0.392512077,9
10c,cs,0.280193237,9
11c,cs,0.501207729,9
12c,cs,0.224637681,9
13c,cs,0.219806763,9
14c,cs,0.223429952,9
15c,cs,0.278985507,9
16c,cs,0.504830918,9
17c,cs,0.223429952,9
18c,cs,0.334541063,9
19c,cs,0.280193237,9
20c,cs,0.280193237,9
21c,cs,0.334541063,9
22c,cs,0.333333333,9
23c,cs,0.333333333,9
24c,cs,0.131239936,9
1c,cs,0.55505279,12
2c,cs,0.55505279,12
3c,cs,0.53720463,12
4c,cs,0.44419306,12
5c,cs,0.14932127,12
6c,cs,0.55505279,12
7c,cs,0.55429864,12
8c,cs,0.55429864,12
9c,cs,0.44343891,12
10c,cs,0.35093012,12
11c,cs,0.49924585,12
12c,cs,0.4248366,12
13c,cs,0.38838612,12
14c,cs,0.46078431,12
16c,cs,0.46254399,12
17c,cs,0.44268477,12
18c,cs,0.38763198,12
19c,cs,0.49924585,12
21c,cs,0.46204123,12
22c,cs,0.4984917,12
24c,cs,0.33333333,12
1,ms,0.44470405,9
2,ms,0.136682243,9
3,ms,0.221183801,9
4,ms,0.43847352,9
5,ms,0.218847352,9
6,ms,0.109813084,9
7,ms,0.330996885,9
8,ms,0.218847352,9
9,ms,0.218068536,9
10,ms,0.199376947,9
11,ms,0.274922118,9
12,ms,0.330996885,9
13,ms,0.330996885,9
14,ms,0.107476636,9
15,ms,0.442367601,9
20,ms,0.21728972,9
21,ms,0.168224299,9
22,ms,0.330218069,9
24,ms,0.164330218,9
25,ms,0.237279335,9
26,ms,0.328660436,9
27,ms,0.43847352,9
28,ms,0.219626168,9
29,ms,0.274143302,9
30,ms,0.219626168,9
31,ms,0.276479751,9
32,ms,0.05529595,9
35,ms,0.163551402,9
36,ms,0.052959502,9
37,ms,0.054517134,9
38,ms,0.327102804,9
39,ms,0.300882658,9
40,ms,0.218068536,9
41,ms,0,9
43,ms,0,9
44,ms,0.275700935,9
3,ms,0.222556391,12
5,ms,0.169924812,12
6,ms,0.442857143,12
7,ms,0.445864662,12
8,ms,0.334586466,12
9,ms,0.5,12
10,ms,0.277443609,12
11,ms,0.277443609,12
12,ms,0.389473684,12
13,ms,0.611278195,12
14,ms,0.390977444,12
15,ms,0.445112782,12
16,ms,0.330827068,12
17,ms,0.201253133,12
19,ms,0.336090226,12
20,ms,0.27593985,12
21,ms,0.334586466,12
22,ms,0.334586466,12
24,ms,0.221052632,12
25,ms,0.557894737,12
26,ms,0.5,12
27,ms,0.5,12
28,ms,0.445864662,12
29,ms,0.218045113,12
30,ms,0.278947368,12
31,ms,0.332330827,12
32,ms,0.445112782,12
35,ms,0.221804511,12
36,ms,0.220300752,12
37,ms,0.149373434,12
38,ms,0.223308271,12
39,ms,0.50075188,12
40,ms,0.220300752,12
43,ms,0.333082707,12
45,ms,0.447368421,12
47,ms,0.333082707,12
48,ms,0.502255639,12